date,avg_rating,avg_vader,avg_textblob,review_count,positive_ratio,negative_ratio,neutral_ratio
2000-06-30,5.0,0.941,0.423,2,1.0,0.0,0.0
2000-07-31,,,,0,,,
2000-08-31,5.0,0.923,0.146,1,1.0,0.0,0.0
2000-09-30,,,,0,,,
2000-10-31,,,,0,,,
2000-11-30,,,,0,,,
2000-12-31,,,,0,,,
2001-01-31,,,,0,,,
2001-02-28,,,,0,,,
2001-03-31,,,,0,,,
2001-04-30,,,,0,,,
2001-05-31,,,,0,,,
2001-06-30,,,,0,,,
2001-07-31,,,,0,,,
2001-08-31,,,,0,,,
2001-09-30,,,,0,,,
2001-10-31,5.0,0.962,0.455,1,1.0,0.0,0.0
2001-11-30,,,,0,,,
2001-12-31,,,,0,,,
2002-01-31,,,,0,,,
2002-02-28,,,,0,,,
2002-03-31,,,,0,,,
2002-04-30,,,,0,,,
2002-05-31,,,,0,,,
2002-06-30,5.0,0.941,0.259,1,1.0,0.0,0.0
2002-07-31,,,,0,,,
2002-08-31,,,,0,,,
2002-09-30,,,,0,,,
2002-10-31,,,,0,,,
2002-11-30,,,,0,,,
2002-12-31,5.0,0.9,0.145,1,1.0,0.0,0.0
2003-01-31,,,,0,,,
2003-02-28,5.0,0.964,0.198,2,1.0,0.0,0.0
2003-03-31,,,,0,,,
2003-04-30,,,,0,,,
2003-05-31,,,,0,,,
2003-06-30,,,,0,,,
2003-07-31,,,,0,,,
2003-08-31,,,,0,,,
2003-09-30,2.0,0.996,0.261,1,1.0,0.0,0.0
2003-10-31,5.0,0.982,0.263,1,1.0,0.0,0.0
2003-11-30,5.0,0.896,0.265,4,1.0,0.0,0.0
2003-12-31,,,,0,,,
2004-01-31,4.0,0.462,0.198,4,0.75,0.25,0.0
2004-02-29,5.0,0.84,0.45,1,1.0,0.0,0.0
2004-03-31,,,,0,,,
2004-04-30,,,,0,,,
2004-05-31,3.0,0.243,0.058,4,0.5,0.5,0.0
2004-06-30,5.0,0.802,0.435,4,1.0,0.0,0.0
2004-07-31,4.57,0.678,0.274,7,1.0,0.0,0.0
2004-08-31,5.0,0.829,0.254,2,1.0,0.0,0.0
2004-09-30,4.0,0.413,0.151,4,0.75,0.25,0.0
