keyword,score,sentiment
horrible,5.639,negative
worst,5.391,negative
china,5.048,negative
awful,4.954,negative
terrible,4.907,negative
disappointed,4.695,negative
waste money,4.605,negative
made china,4.263,negative
bad,4.249,negative
stale,4.079,negative
poor,4.077,negative
waste,4.023,negative
nasty,3.875,negative
disgusting,3.683,negative
disappointing,3.51,negative
money,3.489,negative
weak,3.446,negative
broken,3.397,negative
sick,3.317,negative
return,3.308,negative
gluten free,5.414,positive
tea,4.033,positive
highly recommend,3.877,positive
peanut butter,3.81,positive
coffee,3.342,positive
tea tea,3.309,positive
best ever,3.29,positive
coffee coffee,3.215,positive
food,2.914,positive
much better,2.842,positive
dog,2.637,positive
hard find,2.31,positive
water,2.151,positive
treats,2.088,positive
cup,2.036,positive
dog loves,2.035,positive
sauce,2.032,positive
organic,2.021,positive
best,1.968,positive
rice,1.959,positive
