epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.419,1.32536,3.74347,0.00299,0.01219,0.35265,0.00919,0.00679,0.57597,15.1035,0.00435,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,270.245,1.22352,3.55854,0.00259,0.01365,0.39491,0.01204,0.00915,0.56684,14.9679,0.00376,0.00134097,0.000446989,0.00134097,0.000446989,0.00134097,0.000446989,0.00134097,0.000446989
3,404.725,1.15307,3.29716,0.00225,0.01418,0.41008,0.01472,0.0118,0.57487,14.8644,0.00341,0.0019812,0.0006604,0.0019812,0.0006604,0.0019812,0.0006604,0.0019812,0.0006604
4,534.316,1.02243,2.87099,0.00218,0.01581,0.4572,0.01946,0.01584,0.52679,14.5339,0.0035,0.0025807,0.000860234,0.0025807,0.000860234,0.0025807,0.000860234,0.0025807,0.000860234
5,663.58,1.01111,2.14609,0.00197,0.01822,0.52709,0.13865,0.11484,0.52316,14.1548,0.0034,0.00313947,0.00104649,0.00313947,0.00104649,0.00313947,0.00104649,0.00313947,0.00104649
6,792.617,0.94244,2.05095,0.00201,0.02753,0.79632,0.52909,0.43738,0.50436,13.6457,0.00334,0.00365751,0.00121917,0.00365751,0.00121917,0.00365751,0.00121917,0.00365751,0.00121917
7,920.335,0.98662,2.19222,0.0019,0.78253,0.30119,0.51435,0.42499,0.49217,13.11,0.00321,0.00413482,0.00137827,0.00413482,0.00137827,0.00413482,0.00137827,0.00413482,0.00137827
8,1049.59,0.9563,1.66522,0.00193,0.89458,0.29421,0.64268,0.52611,0.49181,12.5136,0.00328,0.0045714,0.0015238,0.0045714,0.0015238,0.0045714,0.0015238,0.0045714,0.0015238
9,1177.86,0.97205,1.57362,0.00181,0.70808,0.53304,0.71099,0.55764,0.53668,11.9738,0.0035,0.00464229,0.00154743,0.00464229,0.00154743,0.00464229,0.00154743,0.00464229,0.00154743
10,1306.25,0.91773,2.2606,0.00219,0.68216,0.57783,0.70171,0.58132,0.51177,11.485,0.00344,0.00447257,0.00149086,0.00447257,0.00149086,0.00447257,0.00149086,0.00447257,0.00149086
11,1431.96,0.85572,1.48072,0.00175,0.63876,0.67146,0.71494,0.60007,0.52049,10.985,0.00345,0.00430286,0.00143429,0.00430286,0.00143429,0.00430286,0.00143429,0.00430286,0.00143429
12,1559.99,0.8761,1.39808,0.00177,0.64109,0.72481,0.74321,0.62358,0.52381,10.5296,0.00346,0.00413314,0.00137771,0.00413314,0.00137771,0.00413314,0.00137771,0.00413314,0.00137771
13,1687.76,0.8505,1.2977,0.00178,0.65002,0.74215,0.76559,0.64741,0.51401,9.97978,0.0035,0.00396343,0.00132114,0.00396343,0.00132114,0.00396343,0.00132114,0.00396343,0.00132114
14,1820.64,0.89653,1.30211,0.00169,0.67794,0.73835,0.78558,0.6532,0.53018,9.38352,0.00354,0.00379371,0.00126457,0.00379371,0.00126457,0.00379371,0.00126457,0.00379371,0.00126457
15,2547.93,0.85638,1.26699,0.00167,0.68634,0.75081,0.80292,0.67801,0.51116,9.05683,0.00343,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
16,2668.97,0.869,1.14132,0.00162,0.65723,0.79794,0.80835,0.67469,0.53572,8.76481,0.00366,0.00345429,0.00115143,0.00345429,0.00115143,0.00345429,0.00115143,0.00345429,0.00115143
17,2802.51,0.87323,1.29721,0.00184,0.70847,0.77274,0.82812,0.70059,0.53005,8.37934,0.00363,0.00328457,0.00109486,0.00328457,0.00109486,0.00328457,0.00109486,0.00328457,0.00109486
18,2960.85,0.88244,1.10163,0.00163,0.72325,0.76869,0.83886,0.71885,0.50093,8.03819,0.00332,0.00311486,0.00103829,0.00311486,0.00103829,0.00311486,0.00103829,0.00311486,0.00103829
19,3123.02,0.85268,2.02727,0.00203,0.73345,0.77362,0.84975,0.72836,0.48509,7.6374,0.0031,0.00294514,0.000981714,0.00294514,0.000981714,0.00294514,0.000981714,0.00294514,0.000981714
20,3291.32,0.79073,1.12575,0.00155,0.7396,0.80173,0.86373,0.74374,0.46898,7.21987,0.00302,0.00277543,0.000925143,0.00277543,0.000925143,0.00277543,0.000925143,0.00277543,0.000925143
