epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,101.268,1.16209,3.38434,0.98158,0.02655,0.70758,0.03864,0.02634,0.68235,3.1745,0.82731,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022,0.00066,0.00022
2,201.233,1.00749,3.16155,0.93493,0.03257,0.86776,0.06724,0.04918,0.68337,3.14149,0.82123,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723,0.00131169,0.00043723
3,298.972,0.98785,2.73591,0.90879,0.03476,0.92615,0.10234,0.0794,0.65863,3.06832,0.81365,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
4,392.918,0.91713,1.95124,0.90483,0.03609,0.96158,0.18771,0.15022,0.64897,2.88202,0.81133,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041,0.00240123,0.00080041
5,488.124,0.9267,1.23051,0.89268,0.98229,0.30438,0.85832,0.6631,0.64751,2.53283,0.80908,0.00283908,0.00094636,0.00283908,0.00094636,0.00283908,0.00094636,0.00283908,0.00094636
6,584.93,0.84467,1.00417,0.88018,0.98691,0.7146,0.9545,0.75824,0.62313,2.17679,0.80095,0.00320565,0.00106855,0.00320565,0.00106855,0.00320565,0.00106855,0.00320565,0.00106855
7,679.514,0.88309,1.0037,0.88312,0.99106,0.77456,0.96282,0.78732,0.60566,1.84208,0.79383,0.00350094,0.00116698,0.00350094,0.00116698,0.00350094,0.00116698,0.00350094,0.00116698
8,775.58,0.82226,0.82815,0.87076,0.97813,0.86327,0.97187,0.79763,0.59294,1.51157,0.7921,0.00372495,0.00124165,0.00372495,0.00124165,0.00372495,0.00124165,0.00372495,0.00124165
9,874.982,0.80049,0.78088,0.85221,0.97519,0.90236,0.98108,0.80232,0.58637,1.23126,0.78946,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
10,970.267,0.82362,1.23049,0.90184,0.96916,0.93613,0.98548,0.81968,0.55337,1.0744,0.78325,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
11,1093.17,0.67572,1.0576,0.84035,0.96647,0.93663,0.98615,0.82284,0.55975,1.04579,0.78256,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
12,1187.49,0.69912,0.9992,0.86555,0.96357,0.93463,0.98667,0.82218,0.55602,1.06793,0.7812,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
13,1283.37,0.71716,0.79216,0.83689,0.96849,0.94661,0.98939,0.83564,0.5384,1.05484,0.77731,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
14,1383.47,0.67724,0.81282,0.84172,0.97037,0.95958,0.99173,0.83768,0.51976,1.00673,0.77533,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
15,1478.07,0.69031,0.87652,0.85056,0.97435,0.95609,0.99175,0.83956,0.51288,0.99252,0.77383,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
16,1571.16,0.62673,0.79032,0.83334,0.97493,0.951,0.99161,0.84403,0.49658,0.95744,0.77161,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
17,1667.4,0.65253,0.7884,0.84258,0.9789,0.95259,0.99191,0.84601,0.48808,0.93371,0.77022,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,1762.43,0.61777,0.72329,0.82355,0.97499,0.95326,0.99165,0.85078,0.48024,0.91241,0.77053,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,1856.48,0.6211,0.7896,0.82445,0.97604,0.95542,0.99178,0.85245,0.48004,0.90043,0.76954,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
20,1951.15,0.62037,0.795,0.81109,0.97332,0.95758,0.99171,0.85577,0.47415,0.89275,0.76849,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
